Potatoes,29
Onions,40.70
Lemon,18.75
Cauliflower,26
Lady Finger,28
Brinjal,22
Ginger,24
Garlic,48.75
Amul paneer,68
Apple,129
Orange,38
Bannnana,27
Grapes,45.33
Amul Milk,61
Amul Paneer,68
Aashirwad aata,374
India Gate Rice,549
Refined Oil,152
Mustard Oil,171
Tur Dal,620
Sugar,52
Bhujia,160
Amul ghee,444
Horlicks,428
